,zipcode,bd,variable,value,timestamp,month,quarter,year,prev_timestamp,prev_month_rent,inventory,prev_inventory
0,10001,0.0,2018-07,2850.0,2018-07-01,7,3,2018,2018-06-01,2834.0,250.0,262.0
1,10001,1.0,2018-07,3848.0,2018-07-01,7,3,2018,2018-06-01,3872.0,424.0,409.0
2,10001,2.0,2018-07,5595.0,2018-07-01,7,3,2018,2018-06-01,5800.0,247.0,245.0
3,10001,3.0,2018-07,7000.0,2018-07-01,7,3,2018,2018-06-01,6708.0,116.0,114.0
4,10002,0.0,2018-07,2200.0,2018-07-01,7,3,2018,2018-06-01,2400.0,83.0,83.0
5,10002,1.0,2018-07,2695.0,2018-07-01,7,3,2018,2018-06-01,2650.0,249.0,232.0
6,10002,2.0,2018-07,3300.0,2018-07-01,7,3,2018,2018-06-01,3250.0,288.0,253.0
7,10002,3.0,2018-07,4800.0,2018-07-01,7,3,2018,2018-06-01,4850.0,131.0,119.0
8,10003,0.0,2018-07,2749.333333333333,2018-07-01,7,3,2018,2018-06-01,2740.0,194.66666666666663,164.0
9,10003,1.0,2018-07,3681.666666666666,2018-07-01,7,3,2018,2018-06-01,3637.666666666666,308.3333333333333,308.3333333333333
10,10003,2.0,2018-07,5131.666666666667,2018-07-01,7,3,2018,2018-06-01,5240.666666666667,300.6666666666667,268.3333333333333
11,10003,3.0,2018-07,7640.0,2018-07-01,7,3,2018,2018-06-01,7543.333333333332,169.0,169.0
12,10004,0.0,2018-07,3093.5,2018-07-01,7,3,2018,2018-06-01,3005.0,187.0,188.0
13,10004,1.0,2018-07,3996.5,2018-07-01,7,3,2018,2018-06-01,3800.0,169.5,167.0
14,10004,2.0,2018-07,6129.5,2018-07-01,7,3,2018,2018-06-01,6136.5,120.0,112.0
15,10004,3.0,2018-07,9744.0,2018-07-01,7,3,2018,2018-06-01,9725.0,47.0,48.5
16,10005,0.0,2018-07,3027.0,2018-07-01,7,3,2018,2018-06-01,2920.0,340.0,343.0
17,10005,1.0,2018-07,4050.0,2018-07-01,7,3,2018,2018-06-01,3950.0,243.0,244.0
18,10005,2.0,2018-07,5409.0,2018-07-01,7,3,2018,2018-06-01,5350.0,164.0,155.0
19,10005,3.0,2018-07,6788.0,2018-07-01,7,3,2018,2018-06-01,6750.0,66.0,69.0
20,10006,0.0,2018-07,3027.0,2018-07-01,7,3,2018,2018-06-01,2920.0,340.0,343.0
21,10006,1.0,2018-07,4050.0,2018-07-01,7,3,2018,2018-06-01,3950.0,243.0,244.0
22,10006,2.0,2018-07,5409.0,2018-07-01,7,3,2018,2018-06-01,5350.0,164.0,155.0
23,10006,3.0,2018-07,6788.0,2018-07-01,7,3,2018,2018-06-01,6750.0,66.0,69.0
24,10007,0.0,2018-07,3603.0,2018-07-01,7,3,2018,2018-06-01,3870.0,38.0,32.0
25,10007,1.0,2018-07,4500.0,2018-07-01,7,3,2018,2018-06-01,4673.0,95.0,100.0
26,10007,2.0,2018-07,7875.0,2018-07-01,7,3,2018,2018-06-01,7695.0,128.0,123.0
27,10007,3.0,2018-07,13998.0,2018-07-01,7,3,2018,2018-06-01,13950.0,96.0,107.0
28,10009,0.0,2018-07,2278.0,2018-07-01,7,3,2018,2018-06-01,2295.0,322.0,243.0
29,10009,1.0,2018-07,3172.0,2018-07-01,7,3,2018,2018-06-01,3050.0,269.5,253.5
30,10009,2.0,2018-07,3600.0,2018-07-01,7,3,2018,2018-06-01,3646.0,323.0,281.5
31,10009,3.0,2018-07,5025.0,2018-07-01,7,3,2018,2018-06-01,5095.0,195.0,202.0
32,10010,0.0,2018-07,3037.5,2018-07-01,7,3,2018,2018-06-01,3025.0,123.0,130.5
33,10010,1.0,2018-07,3833.0,2018-07-01,7,3,2018,2018-06-01,3750.0,125.66666666666669,119.66666666666669
