MODIFIED_ZCTA,zipcode,Apr-Positive,Apr-Total Tests,Apr-Percent Positive,Apr-Increase of Pos,Apr-Rate of Increase,May-Positive,May-Total Tests,May-Percent Positive,May-Increase of Pos,May-Rate of Increase,Jun-Positive,Jun-Total Tests,Jun-Percent Positive,Jun-Increase of Pos,Jun-Rate of Increase,Jul-Positive,Jul-Total Tests,Jul-Percent Positive,Jul-Increase of Pos,Jul-Rate of Increase,Aug-Positive,Aug-Total Tests,Aug-Percent Positive,Aug-Increase of Pos,Aug-Rate of Increase,Sep-Positive,Sep-Total Tests,Sep-Percent Positive,Sep-Increase of Pos,Sep-Rate of Increase,Oct-Positive,Oct-Total Tests,Oct-Percent Positive,Oct-Increase of Pos,Oct-Rate of Increase,Nov-Positive,Nov-Total Tests,Nov-Percent Positive,Nov-Increase of Pos,Nov-Rate of Increase
10001,10001,238,502,47.41,,,329,1314,25.04,91,0.38235294117647056,381,3196,11.92,52,0.1580547112462006,410,5016,8.17,29,0.07611548556430446,433,7165,6.04,23,0.05609756097560976,455,7746,5.87,22,0.050808314087759814,466,9739,4.78,11,0.024175824175824177,530,11362,4.11,64,0.13733905579399142
10002,10002,645,1203,53.62,,,965,2766,34.89,320,0.49612403100775193,1077,6497,16.58,112,0.11606217616580311,1199,10449,11.47,122,0.11327762302692665,1305,15105,8.64,106,0.0884070058381985,1352,19767,6.84,47,0.03601532567049808,1421,23960,5.93,69,0.05103550295857988,1583,27538,5.71,162,0.11400422237860662
10003,10003,323,759,42.56,,,425,1841,23.09,102,0.3157894736842105,458,5057,9.06,33,0.07764705882352942,497,8052,6.17,39,0.0851528384279476,525,11750,4.47,28,0.056338028169014086,570,18085,3.15,45,0.08571428571428572,643,23673,2.72,73,0.1280701754385965,802,28339,2.75,159,0.24727838258164853
10004,10004,23,60,38.33,,,28,117,23.93,5,0.21739130434782608,32,330,9.7,4,0.14285714285714285,36,547,6.58,4,0.125,39,807,4.83,3,0.08333333333333333,43,946,4.55,4,0.10256410256410256,54,1272,4.25,11,0.2558139534883721,61,1692,3.49,7,0.12962962962962962
10005,10005,41,126,32.54,,,56,315,17.78,15,0.36585365853658536,64,736,8.7,8,0.14285714285714285,75,1245,6.02,11,0.171875,91,1915,4.75,16,0.21333333333333335,103,2382,4.32,12,0.13186813186813187,119,3063,3.89,16,0.1553398058252427,132,3574,3.44,13,0.1092436974789916
10006,10006,12,49,24.49,,,23,130,17.69,11,0.9166666666666666,26,342,7.6,3,0.13043478260869565,34,572,5.94,8,0.3076923076923077,39,845,4.62,5,0.14705882352941177,46,959,4.8,7,0.1794871794871795,50,1193,4.19,4,0.08695652173913043,56,1397,3.94,6,0.12
10007,10007,35,115,30.43,,,50,294,17.01,15,0.42857142857142855,62,794,7.81,12,0.24,67,1330,5.04,5,0.08064516129032258,72,1956,3.68,5,0.07462686567164178,74,2421,3.06,2,0.027777777777777776,86,3061,2.81,12,0.16216216216216217,104,3553,2.56,18,0.20930232558139536
10009,10009,470,1041,45.15,,,651,2421,26.89,181,0.3851063829787234,708,6121,11.57,57,0.08755760368663594,764,9239,8.27,56,0.07909604519774012,825,13616,6.06,61,0.07984293193717278,868,17923,4.84,43,0.052121212121212124,927,21914,4.23,59,0.06797235023041474,1062,25278,4.18,135,0.14563106796116504
10010,10010,188,506,37.15,,,250,1366,18.3,62,0.32978723404255317,271,3615,7.5,21,0.084,300,5520,5.43,29,0.1070110701107011,328,7763,4.23,28,0.09333333333333334,355,10586,3.35,27,0.08231707317073171,392,13683,2.86,37,0.10422535211267606,468,16753,3.15,76,0.19387755102040816
10011,10011,375,787,47.65,,,488,1900,25.68,113,0.30133333333333334,527,5237,10.06,39,0.07991803278688525,563,8332,6.76,36,0.0683111954459203,613,12032,5.09,50,0.08880994671403197,650,15745,4.13,37,0.06035889070146819,695,19813,3.51,45,0.06923076923076923,850,23037,3.65,155,0.22302158273381295
10012,10012,109,307,35.5,,,155,681,22.76,46,0.42201834862385323,165,1989,8.3,10,0.06451612903225806,184,3285,5.6,19,0.11515151515151516,213,5022,4.24,29,0.15760869565217392,234,7574,3.09,21,0.09859154929577464,273,9891,2.76,39,0.16666666666666666,366,11701,3.12,93,0.34065934065934067
10013,10013,167,385,43.38,,,245,1042,23.51,78,0.46706586826347307,265,2863,9.26,20,0.08163265306122448,295,4971,5.93,30,0.11320754716981132,323,7371,4.38,28,0.09491525423728814,335,9924,3.38,12,0.03715170278637771,356,12380,2.88,21,0.0626865671641791,415,14171,2.76,59,0.16573033707865167
10014,10014,223,485,45.98,,,278,1097,25.34,55,0.24663677130044842,309,3339,9.25,31,0.11151079136690648,344,5582,6.16,35,0.11326860841423948,373,8074,4.62,29,0.08430232558139535,391,10308,3.79,18,0.04825737265415549,431,13016,3.31,40,0.10230179028132992,533,15014,3.45,102,0.23665893271461716
10016,10016,470,1082,43.44,,,634,2835,22.36,164,0.34893617021276596,716,6470,11.07,82,0.12933753943217666,768,9755,7.87,52,0.07262569832402235,822,13909,5.91,54,0.0703125,863,16785,5.14,41,0.049878345498783457,938,20871,4.49,75,0.08690614136732329,1062,24467,3.81,124,0.13219616204690832
10017,10017,98,280,35.0,,,130,710,18.31,32,0.32653061224489793,144,1661,8.67,14,0.1076923076923077,155,2620,5.92,11,0.0763888888888889,165,3728,4.43,10,0.06451612903225806,172,4576,3.76,7,0.04242424242424243,186,5775,3.22,14,0.08139534883720931,233,6750,3.44,47,0.25268817204301075
10018,10018,159,343,46.36,,,199,695,28.63,40,0.25157232704402516,212,1728,12.27,13,0.06532663316582915,243,2747,8.85,31,0.14622641509433962,266,4132,6.44,23,0.09465020576131687,206,2683,7.68,-60,-0.22556390977443608,221,3429,6.45,15,0.07281553398058252,313,4016,4.18,92,0.416289592760181
10019,10019,411,908,45.26,,,556,2093,26.56,145,0.35279805352798055,616,5291,11.64,60,0.1079136690647482,650,8190,7.94,34,0.05519480519480519,690,11550,5.97,40,0.06153846153846154,722,14425,5.01,32,0.0463768115942029,772,17647,4.37,50,0.06925207756232687,857,20112,4.24,85,0.11010362694300518
10021,10021,405,1033,39.21,,,524,2377,22.04,119,0.2938271604938272,573,5322,10.77,49,0.09351145038167939,603,8312,7.25,30,0.05235602094240838,626,11645,5.38,23,0.03814262023217247,660,14160,4.66,34,0.054313099041533544,719,17485,4.11,59,0.0893939393939394,811,19949,3.88,92,0.12795549374130738
10022,10022,236,608,38.82,,,324,1507,21.5,88,0.3728813559322034,346,3554,9.74,22,0.06790123456790123,369,5578,6.62,23,0.06647398843930635,390,7739,5.04,21,0.056910569105691054,414,9311,4.45,24,0.06153846153846154,438,11518,3.8,24,0.057971014492753624,529,13376,3.65,91,0.20776255707762556
10023,10023,406,989,41.05,,,522,2402,21.73,116,0.2857142857142857,572,6278,9.11,50,0.09578544061302682,602,9876,6.1,30,0.05244755244755245,647,13902,4.65,45,0.07475083056478406,668,17344,3.85,21,0.03245749613601236,733,21534,3.4,65,0.09730538922155689,841,25160,3.17,108,0.14733969986357434
10024,10024,436,1122,38.86,,,610,2522,24.19,174,0.39908256880733944,723,6549,11.04,113,0.18524590163934426,777,10402,7.47,54,0.07468879668049792,825,14301,5.77,48,0.06177606177606178,859,18644,4.61,34,0.041212121212121214,927,23272,3.98,68,0.07916181606519208,1029,26615,3.81,102,0.11003236245954692
10025,10025,790,1761,44.86,,,1160,4258,27.24,370,0.46835443037974683,1372,11410,12.02,212,0.18275862068965518,1459,18183,8.02,87,0.06341107871720117,1520,24428,6.22,61,0.041809458533241944,1591,32742,4.86,71,0.04671052631578947,1688,39844,4.24,97,0.06096794468887492,1869,45271,4.09,181,0.10722748815165876
10026,10026,391,750,52.13,,,607,1966,30.87,216,0.5524296675191815,648,3915,16.55,41,0.06754530477759473,697,5788,12.04,49,0.07561728395061729,741,8041,9.22,44,0.06312769010043041,781,10413,7.5,40,0.05398110661268556,827,12659,6.53,46,0.058898847631242,895,14418,6.26,68,0.08222490931076179
10027,10027,599,1100,54.45,,,946,2965,31.91,347,0.5792988313856428,1049,6011,17.45,103,0.10887949260042283,1117,9615,11.62,68,0.06482364156339371,1167,13574,8.6,50,0.044762757385854966,1224,18684,6.55,57,0.04884318766066838,1278,22189,5.76,54,0.04411764705882353,1396,25058,5.46,118,0.09233176838810642
10028,10028,343,891,38.5,,,447,2039,21.92,104,0.3032069970845481,476,4831,9.85,29,0.06487695749440715,505,7611,6.64,29,0.06092436974789916,535,10613,5.04,30,0.0594059405940594,566,13126,4.31,31,0.05794392523364486,611,16407,3.72,45,0.07950530035335689,705,18898,3.61,94,0.15384615384615385
10029,10029,1037,1923,53.93,,,1676,4532,36.98,639,0.6162005785920925,1839,9226,19.93,163,0.09725536992840096,1910,13083,14.6,71,0.03860793909733551,2006,18752,10.7,96,0.050261780104712044,2078,22408,9.27,72,0.03589232303090728,2165,26344,8.22,87,0.04186717998075072,2344,29942,7.58,179,0.08267898383371824
10030,10030,313,510,61.37,,,463,1422,32.56,150,0.4792332268370607,510,2792,18.27,47,0.10151187904967603,539,4046,13.32,29,0.056862745098039215,565,5686,9.94,26,0.04823747680890538,587,7105,8.26,22,0.03893805309734513,615,8567,7.18,28,0.04770017035775128,668,9856,6.92,53,0.08617886178861789
10031,10031,726,1116,65.05,,,1203,3216,37.41,477,0.6570247933884298,1349,7105,18.99,146,0.12136325852036575,1426,10176,14.01,77,0.05707931801334322,1508,13786,10.94,82,0.05750350631136045,1566,16252,9.64,58,0.038461538461538464,1657,19114,8.67,91,0.05810983397190294,1830,21485,8.26,173,0.1044055522027761
10032,10032,820,1332,61.56,,,1376,3708,37.11,556,0.6780487804878049,1561,7643,20.42,185,0.13444767441860464,1653,10746,15.38,92,0.058936579115951314,1739,14605,11.91,86,0.05202661826981246,1799,17287,10.41,60,0.034502587694077054,1875,20204,9.28,76,0.042245692051139525,2051,23146,8.58,176,0.09386666666666667
10033,10033,700,1119,62.56,,,1231,3339,36.87,531,0.7585714285714286,1370,6748,20.3,139,0.11291632818846466,1442,9438,15.28,72,0.052554744525547446,1509,12922,11.68,67,0.046463245492371706,1562,15693,9.95,53,0.03512259774685222,1663,18629,8.93,101,0.0646606914212548,1822,21213,8.44,159,0.09561034275405893
10034,10034,383,676,56.66,,,660,2201,29.99,277,0.7232375979112271,728,4242,17.16,68,0.10303030303030303,781,6302,12.39,53,0.07280219780219781,851,8817,9.65,70,0.08962868117797695,889,10549,8.43,38,0.04465334900117509,941,12523,7.51,52,0.05849268841394826,1041,14340,7.13,100,0.10626992561105207
10035,10035,555,967,57.39,,,889,2456,36.2,334,0.6018018018018018,999,4723,21.15,110,0.12373453318335208,1069,6509,16.42,70,0.07007007007007007,1120,8974,12.48,51,0.047708138447146865,1146,10953,10.46,26,0.023214285714285715,1181,12850,9.19,35,0.030541012216404886,1261,14548,8.65,80,0.06773920406435224
10036,10036,270,579,46.63,,,387,1432,27.03,117,0.43333333333333335,439,3502,12.54,52,0.1343669250645995,477,5198,9.18,38,0.08656036446469248,506,7330,6.9,29,0.06079664570230608,531,9292,5.71,25,0.04940711462450593,572,11333,5.05,41,0.07721280602636535,640,13056,4.78,68,0.11888111888111888
10037,10037,267,456,58.55,,,503,1838,27.37,236,0.8838951310861424,550,3054,18.01,47,0.09343936381709742,551,3997,13.79,1,0.0018181818181818182,570,5272,10.81,19,0.034482758620689655,598,5964,10.03,28,0.04912280701754386,617,6962,8.86,19,0.03177257525083612,641,7859,7.75,24,0.03889789303079417
10038,10038,160,321,49.84,,,231,829,27.86,71,0.44375,256,1973,12.98,25,0.10822510822510822,263,3018,8.71,7,0.02734375,288,4524,6.37,25,0.09505703422053231,318,5934,5.36,30,0.10416666666666667,352,7726,4.56,34,0.1069182389937107,402,9001,4.29,50,0.14204545454545456
10039,10039,298,537,55.49,,,470,1467,32.04,172,0.5771812080536913,527,2684,19.63,57,0.12127659574468085,561,3746,14.98,34,0.06451612903225806,606,5499,11.02,45,0.08021390374331551,623,6482,9.61,17,0.028052805280528052,649,7651,8.48,26,0.04173354735152488,696,8659,7.75,47,0.0724191063174114
10040,10040,555,864,64.24,,,1046,2897,36.11,491,0.8846846846846846,1142,5330,21.43,96,0.09177820267686425,1199,7513,15.96,57,0.049912434325744305,1267,10357,12.23,68,0.0567139282735613,1327,12769,10.39,60,0.0473559589581689,1391,15115,9.2,64,0.04822908816880181,1518,17029,8.98,127,0.09130122214234364
