MODIFIED_ZCTA,zipcode,Apr-Positive,May-Positive,Jun-Positive,Jul-Positive,Aug-Positive,Sep-Positive,Oct-Positive,Nov-Positive
10001,10001,238,329,381,410,433,455,466,530
10002,10002,645,965,1077,1199,1305,1352,1421,1583
10003,10003,323,425,458,497,525,570,643,802
10004,10004,23,28,32,36,39,43,54,61
10005,10005,41,56,64,75,91,103,119,132
10006,10006,12,23,26,34,39,46,50,56
10007,10007,35,50,62,67,72,74,86,104
10009,10009,470,651,708,764,825,868,927,1062
10010,10010,188,250,271,300,328,355,392,468
10011,10011,375,488,527,563,613,650,695,850
10012,10012,109,155,165,184,213,234,273,366
10013,10013,167,245,265,295,323,335,356,415
10014,10014,223,278,309,344,373,391,431,533
10016,10016,470,634,716,768,822,863,938,1062
10017,10017,98,130,144,155,165,172,186,233
10018,10018,159,199,212,243,266,206,221,313
10019,10019,411,556,616,650,690,722,772,857
10021,10021,405,524,573,603,626,660,719,811
10022,10022,236,324,346,369,390,414,438,529
10023,10023,406,522,572,602,647,668,733,841
10024,10024,436,610,723,777,825,859,927,1029
10025,10025,790,1160,1372,1459,1520,1591,1688,1869
10026,10026,391,607,648,697,741,781,827,895
10027,10027,599,946,1049,1117,1167,1224,1278,1396
10028,10028,343,447,476,505,535,566,611,705
10029,10029,1037,1676,1839,1910,2006,2078,2165,2344
10030,10030,313,463,510,539,565,587,615,668
10031,10031,726,1203,1349,1426,1508,1566,1657,1830
10032,10032,820,1376,1561,1653,1739,1799,1875,2051
10033,10033,700,1231,1370,1442,1509,1562,1663,1822
10034,10034,383,660,728,781,851,889,941,1041
10035,10035,555,889,999,1069,1120,1146,1181,1261
10036,10036,270,387,439,477,506,531,572,640
10037,10037,267,503,550,551,570,598,617,641
10038,10038,160,231,256,263,288,318,352,402
10039,10039,298,470,527,561,606,623,649,696
10040,10040,555,1046,1142,1199,1267,1327,1391,1518
10044,10044,100,214,240,247,258,262,268,289
10065,10065,230,315,335,336,355,376,410,482
10069,10069,38,50,57,62,68,73,78,99
10075,10075,287,361,448,434,443,460,489,552
10128,10128,453,601,641,679,711,741,780,907
10280,10280,31,43,55,61,64,64,69,76
10282,10282,51,68,71,78,84,86,87,92
10301,10301,678,1091,1218,1262,1307,1356,1429,1603
10302,10302,360,607,639,652,684,697,729,806
10303,10303,533,809,882,916,942,957,992,1087
10304,10304,851,1315,1405,1433,1510,1566,1644,1818
10305,10305,753,1173,1257,1302,1363,1399,1497,1707
10306,10306,954,1390,1465,1511,1570,1624,1747,2033
10307,10307,257,362,380,401,416,429,466,544
10308,10308,459,610,639,675,701,737,801,931
10309,10309,617,808,844,874,912,955,1017,1161
10310,10310,425,694,719,731,755,791,850,938
10312,10312,1082,1437,1504,1585,1665,1720,1847,2129
10314,10314,1717,2529,2675,2763,2872,2984,3169,3585
10451,10451,887,1514,1623,1650,1725,1781,1857,1963
10452,10452,1195,2177,2452,2586,2717,2847,2983,3214
10453,10453,1261,2199,2403,2555,2690,2791,2922,3152
10454,10454,616,1061,1150,1214,1271,1302,1323,1435
10455,10455,652,1184,1284,1382,1456,1498,1546,1656
10456,10456,1295,2320,2544,2701,2827,2922,3015,3197
10457,10457,1092,1933,2135,2324,2463,2545,2628,2824
10458,10458,1083,1901,2085,2241,2398,2463,2588,2857
10459,10459,824,1407,1506,1598,1661,1723,1793,1957
10460,10460,875,1543,1672,1774,1878,1928,2002,2139
10461,10461,1107,1797,1907,1920,1966,2025,2095,2223
10462,10462,1308,2149,2295,2376,2476,2571,2700,2904
10463,10463,1021,1794,2063,2156,2245,2327,2418,2570
10464,10464,80,116,120,129,135,136,142,142
10465,10465,941,1435,1503,1555,1586,1630,1708,1830
10466,10466,1393,2218,2432,2526,2600,2662,2714,2835
10467,10467,1972,3134,3449,3631,3802,3893,4022,4273
10468,10468,1381,2534,2802,2949,3096,3186,3319,3516
10469,10469,1724,2813,3050,3157,3226,3279,3357,3493
10470,10470,284,426,456,471,487,504,518,549
10471,10471,326,755,809,836,857,878,903,954
10472,10472,1035,1821,1999,2120,2205,2267,2358,2513
10473,10473,1170,1812,1957,2046,2143,2197,2288,2469
10474,10474,187,308,326,343,353,349,353,377
10475,10475,1042,1622,1727,1803,1855,1890,1942,2005
11004,11004,353,540,603,613,633,644,666,717
11101,11101,374,584,642,682,725,761,817,922
11102,11102,336,568,631,666,712,737,821,920
11103,11103,321,515,588,609,652,700,754,853
11104,11104,285,457,502,521,553,570,591,670
11105,11105,309,460,501,517,547,586,633,762
11106,11106,366,601,658,701,771,794,857,953
11109,11109,40,46,49,58,62,64,70,80
11201,11201,402,639,720,777,813,839,889,1005
11203,11203,1148,1921,2116,2189,2243,2297,2376,2500
11204,11204,1185,1880,2056,2125,2216,2335,2677,2973
11205,11205,423,676,746,789,817,843,932,1020
11206,11206,837,1465,1639,1721,1804,1863,2008,2228
11207,11207,1056,1928,2134,2265,2369,2438,2539,2733
11208,11208,1173,2184,2426,2563,2682,2780,2907,3187
11209,11209,667,1069,1155,1207,1282,1335,1451,1642
11210,11210,1042,1568,1725,1791,1848,1953,2294,2507
11211,11211,1293,1954,2117,2236,2328,2421,2720,3100
11212,11212,948,1687,1909,2028,2110,2146,2224,2382
11213,11213,873,1281,1425,1497,1559,1617,1748,1928
11214,11214,859,1425,1575,1651,1742,1817,1952,2222
11215,11215,383,583,635,657,694,721,772,882
11216,11216,419,678,750,810,853,891,966,1064
11217,11217,357,551,630,659,694,709,738,798
11218,11218,1043,1601,1771,1841,1903,1940,2149,2379
11219,11219,1833,2795,3100,3200,3271,3371,3755,4141
11220,11220,870,1417,1591,1734,1948,2027,2132,2324
11221,11221,698,1183,1335,1424,1548,1604,1678,1842
11222,11222,277,411,457,494,534,558,611,682
11223,11223,999,1606,1736,1815,1897,2022,2725,3018
11224,11224,551,1072,1264,1303,1336,1412,1507,1621
11225,11225,711,1091,1171,1223,1269,1313,1390,1505
11226,11226,1148,2080,2302,2472,2550,2612,2719,2894
11228,11228,388,605,687,716,764,793,857,953
11229,11229,925,1468,1796,1870,1950,2016,2266,2512
11230,11230,1414,2159,2394,2488,2575,2762,3435,3888
11231,11231,258,391,426,446,468,491,514,561
11232,11232,303,482,554,590,635,650,683,741
11233,11233,666,1173,1284,1364,1428,1464,1545,1656
11234,11234,1417,2139,2264,2346,2437,2521,2727,2930
11235,11235,1056,1916,2068,2159,2272,2363,2639,2879
11236,11236,1558,2528,2775,2887,2980,3042,3156,3329
11237,11237,489,882,999,1064,1117,1152,1243,1367
11238,11238,476,722,806,850,892,930,982,1081
11239,11239,293,476,522,551,571,581,599,647
11354,11354,517,1102,1225,1327,1397,1482,1542,1614
11355,11355,657,1172,1332,1488,1557,1606,1656,1784
11356,11356,323,520,569,601,639,654,694,750
11357,11357,484,769,821,871,905,936,970,1069
11358,11358,324,526,581,617,633,648,688,750
11360,11360,190,298,321,331,340,355,373,405
11361,11361,271,424,457,478,492,511,537,595
11362,11362,186,294,327,340,351,359,377,397
11363,11363,72,96,98,103,108,111,116,122
11364,11364,288,445,468,482,508,519,566,619
11365,11365,492,784,847,890,940,977,1045,1124
11366,11366,266,364,392,404,415,430,462,506
11367,11367,636,969,1043,1099,1148,1200,1332,1447
11368,11368,2563,4191,4643,4885,5052,5147,5256,5569
11369,11369,953,1488,1631,1686,1727,1750,1802,1909
11370,11370,896,1269,1350,1400,1423,1454,1498,1604
11372,11372,1545,2358,2576,2684,2786,2846,2936,3151
11373,11373,1978,3043,3290,3388,3499,3546,3690,4018
11374,11374,727,1012,1079,1124,1173,1234,1362,1498
11375,11375,1026,1442,1528,1501,1567,1662,1799,1972
11377,11377,1253,2056,2306,2393,2479,2533,2653,2945
11378,11378,426,700,760,782,811,840,874,973
11379,11379,476,765,813,857,884,909,970,1074
11385,11385,1167,2016,2201,2303,2415,2488,2617,2943
11411,11411,443,647,691,713,727,733,762,793
11412,11412,759,1180,1252,1293,1325,1338,1363,1447
11413,11413,820,1232,1329,1372,1408,1430,1479,1528
11414,11414,537,775,806,834,864,886,951,1003
11415,11415,322,502,538,554,564,596,661,704
11416,11416,359,659,721,749,777,804,872,966
11417,11417,469,833,898,921,949,959,1007,1075
11418,11418,578,1010,1118,1175,1197,1228,1281,1422
11419,11419,611,1095,1217,1264,1305,1337,1398,1508
11420,11420,759,1281,1379,1428,1471,1520,1586,1700
11421,11421,677,1123,1208,1248,1298,1331,1388,1511
11422,11422,606,924,991,1035,1066,1089,1104,1154
11423,11423,556,1010,1090,1127,1155,1185,1242,1329
11426,11426,319,485,498,514,531,546,572,620
11427,11427,483,735,795,817,837,856,893,943
11428,11428,396,635,683,693,710,720,741,786
11429,11429,595,881,963,1002,1025,1045,1089,1161
11432,11432,937,1675,1857,1917,1989,2049,2216,2388
11433,11433,529,880,966,992,1032,1052,1096,1157
11434,11434,1190,1913,2122,2192,2237,2280,2332,2442
11435,11435,884,1520,1653,1704,1753,1815,1924,2075
11436,11436,303,493,533,560,578,590,610,649
11691,11691,1302,2111,2422,2535,2629,2789,3108,3270
11692,11692,343,554,629,664,693,715,738,767
11693,11693,228,309,333,344,349,353,366,406
11694,11694,405,658,725,755,775,798,821,893
11697,11697,69,89,109,111,113,121,125,141
