,zip_code_tabulation_area_(5-digit),sex_by_age__total_population_total,sex_by_age_total_population_total_male,sex_by_age_total_population_total_female,"sex_by_age_(white_alone,_not_hispanic_or_latino)__white_alone,_not_hispanic_or_latino_population_total",sex_by_age_(hispanic_or_latino)__hispanic_or_latino_population_total,race__total_population_total,race_total_population_total_white_alone,race_total_population_total_black_or_african_american_alone,race_total_population_total_asian_alone,sex_of_workers_by_means_of_transportation_to_work__workers_16_years_and_over_total,sex_of_workers_by_means_of_transportation_to_work_workers_16_years_and_over_total_car_truck_or_van,sex_of_workers_by_means_of_transportation_to_work_workers_16_years_and_over_total_public_transportation_(excluding_taxicab),sex_of_workers_by_means_of_transportation_to_work_workers_16_years_and_over_total_public_transportation_(excluding_taxicab)_subway_or_elevated,sex_of_workers_by_means_of_transportation_to_work_workers_16_years_and_over_total_bicycle,sex_of_workers_by_means_of_transportation_to_work_workers_16_years_and_over_total_walked,aggregate_travel_time_to_work_(in_minutes)_of_workers_by_sex__workers_16_years_and_over_who_did_not_work_at_home_aggregate_travel_time_to_work_(in_minutes),household_income_in_the_past_12_months_(in_2018_inflation-adjusted_dollars)__households_total,employment_status_for_the_population_16_years_and_over_population_16_years_and_over_total_in_labor_force_civilian_labor_force_unemployed,housing_units__housing_units_total,median_gross_rent_by_bedrooms_renter-occupied_housing_units_paying_cash_rent_median_gross_rent_total,median_year_structure_built__housing_units_median_year_structure_built,lower_contract_rent_quartile_(dollars)__renter-occupied_housing_units_paying_cash_rent_lower_contract_rent_quartile,median_contract_rent_(dollars)__renter-occupied_housing_units_paying_cash_rent_median_contract_rent,upper_contract_rent_quartile_(dollars)__renter-occupied_housing_units_paying_cash_rent_upper_contract_rent_quartile,contract_rent_renter-occupied_housing_units_total_with_cash_rent,median_gross_rent_(dollars)__renter-occupied_housing_units_paying_cash_rent_median_gross_rent,median_gross_rent_as_a_percentage_of_household_income_in_the_past_12_months_(dollars)__renter-occupied_housing_units_paying_cash_rent_median_gross_rent_as_a_percentage_of_household_income,lower_value_quartile_(dollars)__owner-occupied_housing_units_lower_value_quartile_(dollars),median_value_(dollars)__owner-occupied_housing_units_median_value_(dollars),upper_value_quartile_(dollars)__owner-occupied_housing_units_upper_value_quartile_(dollars),median_household_income_the_past_12_months_(in_2018_inflation-adjusted_dollars)_by_tenure_occupied_housing_units_median_household_income_in_the_past_12_months_(in_2018_inflation-adjusted_dollars)_total,median_household_income_the_past_12_months_(in_2018_inflation-adjusted_dollars)_by_tenure_occupied_housing_units_median_household_income_in_the_past_12_months_(in_2018_inflation-adjusted_dollars)_renter_occupied_(dollars),tenure_by_occupants_per_room_occupied_housing_units_total_renter_occupied_0.50_or_less_occupants_per_room,tenure_by_occupants_per_room_occupied_housing_units_total_renter_occupied_0.51_to_1.00_occupants_per_room,tenure_by_occupants_per_room_occupied_housing_units_total_renter_occupied_1.01_to_1.50_occupants_per_room,tenure_by_occupants_per_room_occupied_housing_units_total_renter_occupied_1.51_to_2.00_occupants_per_room,tenure_occupied_housing_units_total_renter_occupied
0,10001.0,22924,11671,11253,12182.0,3246.0,22924,14422,1413,5774,14265.0,582.0,7084.0,6256.0,534.0,4595.0,27.916604225985314,12431.0,0.04546663121510237,14141,2065.0,1966.0,818.0,2008.0,3368.0,9015,2065.0,27.4,92400.0,343400.0,1559100.0,88526.0,83862.0,4740,4122,81,235,0.738315501568659
1,10002.0,74993,36230,38763,16472.0,20390.0,74993,24168,6283,31089,32804.0,2835.0,17904.0,15490.0,1622.0,8385.0,32.65709556248806,33540.0,0.0700795917801381,35724,963.0,1951.0,436.0,912.0,1495.0,28758,963.0,30.9,480200.0,665200.0,945400.0,35859.0,31122.0,13295,13197,1513,872,0.8667262969588551
2,10003.0,54682,27503,27179,38521.0,4506.0,54682,41511,3178,7373,32054.0,1888.0,16389.0,15018.0,1379.0,8673.0,25.16795079751284,26124.0,0.05665705884065566,30876,2298.0,0.0,1288.0,2202.0,2848.0,17213,2298.0,25.6,658800.0,1001200.0,1847500.0,112131.0,91081.0,9280,7749,121,364,0.6706094013167968
3,10004.0,3028,1267,1761,1834.0,112.0,3028,1902,51,922,2065.0,175.0,1122.0,1073.0,6.0,503.0,25.408891328210757,1659.0,0.0446387482742752,2139,3235.0,0.0,2769.0,3180.0,3476.0,1002,3235.0,26.4,655700.0,1640600.0,2000001.0,157645.0,146957.0,357,640,15,12,0.6172393007836046
4,10005.0,8831,4003,4828,6132.0,608.0,8831,6484,221,1497,6697.0,121.0,4209.0,4040.0,0.0,2003.0,24.26775956284153,4374.0,0.03137086377309841,5585,3226.0,0.0,2777.0,3115.0,3470.0,3461,3226.0,22.4,652700.0,1415400.0,1880200.0,173333.0,180503.0,1029,1967,89,383,0.8036122542295382
5,10006.0,3454,1633,1821,2183.0,414.0,3454,2411,36,687,2574.0,126.0,1455.0,1409.0,32.0,764.0,27.538654408692018,1794.0,0.0060082613593691325,2343,3229.0,0.0,2669.0,3086.0,3468.0,1471,3229.0,23.6,752800.0,1140400.0,1805900.0,176250.0,170455.0,563,730,61,134,0.8294314381270903
6,10007.0,7023,4118,2905,5056.0,580.0,7023,5421,332,826,3813.0,236.0,2112.0,1928.0,88.0,974.0,27.353507565337,2731.0,0.028039765485597758,3366,3394.0,1985.0,0.0,3344.0,3501.0,1736,3394.0,20.5,1028100.0,2000001.0,2000001.0,246813.0,181439.0,762,915,56,30,0.6455510801904064
7,10009.0,57925,26519,31406,29677.0,14347.0,57925,35817,5431,7512,31458.0,1597.0,18573.0,15140.0,2176.0,6432.0,31.909481446402598,29728.0,0.040130476418482164,31293,1642.0,1946.0,768.0,1588.0,2518.0,27636,1642.0,28.9,156600.0,608300.0,961000.0,61548.0,60034.0,15340,11221,566,694,0.9366926803013994
8,10010.0,33730,17370,16360,21570.0,3703.0,33730,24684,1784,5859,20577.0,1133.0,11437.0,9153.0,752.0,5268.0,27.962962962962962,16390.0,0.03975195520385025,18535,2590.0,1962.0,1445.0,2474.0,3311.0,11523,2590.0,25.9,551900.0,788200.0,1339200.0,117923.0,116324.0,5789,5551,204,191,0.7162294081757169
9,10011.0,50472,26058,24414,36075.0,5704.0,50472,40331,2819,4627,32943.0,2077.0,18205.0,16993.0,867.0,8222.0,25.460867861690666,29128.0,0.037128287400446915,33707,2115.0,0.0,1111.0,2046.0,2935.0,17773,2115.0,23.7,574100.0,964200.0,2000001.0,128613.0,107005.0,9420,7943,338,448,0.6241760505355671
