,zipcode,bd,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10
0,10001,0.0,2834.0,2850.0,2875.0,2875.0,2829.0,2875.0,2963.0,2900.0,3042.0,3000.0,2976.0,2976.0,2995.0,3125.0,3050.0,3050.0,3089.0,3100.0,3150.0,3000.0,3073.0,3075.0,2963.0,2850.0,2704.0,2554.0,2500.0,2465.0,2400.0
1,10001,1.0,3872.0,3848.0,4033.0,4165.0,3988.0,3995.0,4003.0,4179.0,4295.0,4202.0,4200.0,4248.0,4450.0,4396.0,4365.0,4237.0,4231.0,4217.0,4200.0,4150.0,4193.0,4175.0,3999.0,3850.0,3693.0,3500.0,3400.0,3308.0,3381.0
2,10001,2.0,5800.0,5595.0,5500.0,5997.0,5927.0,5975.0,6193.0,6200.0,6056.0,5954.0,6000.0,5895.0,6000.0,5995.0,6048.0,5903.0,5775.0,5900.0,6190.0,6068.0,6184.0,6170.0,5940.0,5478.0,5031.0,4975.0,4963.0,5076.0,5000.0
3,10001,3.0,6708.0,7000.0,7250.0,7125.0,7500.0,10600.0,9998.0,10375.0,10250.0,10250.0,7200.0,7295.0,7598.0,7700.0,7175.0,9275.0,10400.0,9495.0,10500.0,10200.0,12500.0,13250.0,9700.0,6995.0,6450.0,6200.0,5995.0,6600.0,6600.0
4,10002,0.0,2400.0,2200.0,2199.0,2150.0,2173.0,2100.0,2074.0,2195.0,2200.0,2200.0,2173.0,2225.0,2250.0,2250.0,2225.0,2344.0,2900.0,3108.0,2695.0,2695.0,2598.0,2700.0,2525.0,2325.0,2099.0,2049.0,2100.0,1900.0,2095.0
5,10002,1.0,2650.0,2695.0,2713.0,2900.0,2800.0,2650.0,2700.0,2745.0,2800.0,2795.0,2703.0,2895.0,2898.0,2841.0,2900.0,3195.0,3195.0,2995.0,3238.0,3425.0,3650.0,3000.0,2900.0,2760.0,2650.0,2500.0,2495.0,2400.0,2350.0
6,10002,2.0,3250.0,3300.0,3400.0,3450.0,3595.0,3500.0,3473.0,3500.0,3600.0,3495.0,3425.0,3495.0,3575.0,3498.0,3500.0,3600.0,3700.0,3750.0,3780.0,4325.0,4200.0,3999.0,3725.0,3400.0,3199.0,2995.0,2916.0,2800.0,2895.0
7,10002,3.0,4850.0,4800.0,4655.0,4595.0,4500.0,4812.0,4650.0,4500.0,4495.0,4500.0,4750.0,5000.0,4890.0,4900.0,5075.0,5775.0,5795.0,5495.0,5448.0,6495.0,6000.0,4995.0,4995.0,4995.0,4800.0,4578.0,4082.0,3995.0,3911.0
8,10003,0.0,2740.0,2749.3333333333335,2763.3333333333335,2798.0,2733.3333333333335,2796.0,2741.3333333333335,2805.3333333333335,2848.3333333333335,2768.0,2828.3333333333335,2861.0,2877.0,2862.0,2843.3333333333335,2881.6666666666665,2837.0,2787.6666666666665,2849.0,2901.6666666666665,2915.0,2829.0,2665.0,2593.6666666666665,2601.3333333333335,2489.0,2420.6666666666665,2356.3333333333335,2362.0
9,10003,1.0,3637.6666666666665,3681.6666666666665,3627.6666666666665,3681.6666666666665,3689.3333333333335,3644.3333333333335,3761.6666666666665,3836.0,3855.3333333333335,3838.6666666666665,3875.0,3915.0,3798.3333333333335,3917.3333333333335,3895.3333333333335,3966.6666666666665,3935.0,3899.3333333333335,3802.3333333333335,3819.0,3883.3333333333335,3881.6666666666665,3702.3333333333335,3551.6666666666665,3429.6666666666665,3361.6666666666665,3259.6666666666665,3281.6666666666665,3190.0
