zipcode,borough,neighborhood,
10001,Manhattan,Chelsea,
10002,Manhattan,Lower East Side,
10003,Manhattan,Flatiron,
10003,Manhattan,East Village,
10003,Manhattan,Greenwich Village,
10004,Manhattan,Battery Park City,
10004,Manhattan,Financial District,
10005,Manhattan,Financial District,
10006,Manhattan,Financial District,
10007,Manhattan,Tribeca,
10009,Manhattan,Stuyvesant Town/PCV,
10009,Manhattan,East Village,
10010,Manhattan,Flatiron,
10010,Manhattan,Stuyvesant Town/PCV,
10010,Manhattan,Gramercy Park,
10011,Manhattan,Midtown West,
10011,Manhattan,Flatiron,
10011,Manhattan,Chelsea,
10012,Manhattan,Little Italy,
10012,Manhattan,Nolita ,
10012,Manhattan,Soho,
10012,Manhattan,Greenwich Village,
10013,Manhattan,Little Italy,
10013,Manhattan,Tribeca,
10014,Manhattan,West Village,
10016,Manhattan,Midtown East,
10017,Manhattan,Midtown East,
10018,Manhattan,Midtown West,
10019,Manhattan,Central Park South,
10019,Manhattan,Upper West Side,
10021,Manhattan,Upper East Side,
10022,Manhattan,Midtown East,
10023,Manhattan,Upper West Side,
10024,Manhattan,Upper West Side,
10025,Manhattan,Upper West Side,
10026,Manhattan,Central Harlem,
10027,Manhattan,Central Harlem,
10028,Manhattan,Upper East Side,
10029,Manhattan,East Harlem,
10030,Manhattan,Central Harlem,
10031,Manhattan,Hamilton Heights,
10032,Manhattan,Washington Heights,
10033,Manhattan,Washington Heights,
10034,Manhattan,Inwood,
10035,Manhattan,East Harlem,
10036,Manhattan,Midtown West,
10037,Manhattan,Central Harlem,
10038,Manhattan,Financial District,
10039,Manhattan,Central Harlem,
10040,Manhattan,Washington Heights,
10044,Manhattan,Roosevelt Island,
10065,Manhattan,Upper East Side,
10069,Manhattan,Upper West Side,
10075,Manhattan,Upper East Side,
10128,Manhattan,Upper East Side,
10280,Manhattan,Battery Park City,
10282,Manhattan,Battery Park City,
10451,Bronx,Melrose,
10451,Bronx,Concourse,
10452,Bronx,Highbridge,
10452,Bronx,Concourse,
10453,Bronx,University Heights,
10453,Bronx,Morris Heights,
10454,Bronx,Mott Haven,
10455,Bronx,Mott Haven,
10455,Bronx,Woodstock,
10456,Bronx,Concourse,
10456,Bronx,Melrose,
10457,Bronx,Tremont,
10458,Bronx,Fordham,
10458,Bronx,Bedford Park,
10459,Bronx,Longwood,
10460,Bronx,East Tremont,
10460,Bronx,Van Nest,
10460,Bronx,Crotona Park East,
10461,Bronx,Pelham Bay,
10462,Bronx,Pelham Parkway,
10462,Bronx,Morris Park,
10462,Bronx,Van Nest,
10462,Bronx,Parkchester,
10463,Bronx,Riverdale,
10464,Bronx,City Island,
10465,Bronx,Throgs Neck,
10466,Bronx,Eastchester,
10466,Bronx,Wakefield,
10467,Bronx,Norwood,
10467,Bronx,Bronxwood,
10468,Bronx,Fordham,
10468,Bronx,Bedford Park,
10468,Bronx,University Heights,
10469,Bronx,Laconia,
10469,Bronx,Williamsbridge,
10469,Bronx,Baychester,
10470,Bronx,Woodlawn,
10471,Bronx,Riverdale,
10472,Bronx,Soundview,
10473,Bronx,Soundview,
10474,Bronx,Hunts Point,
10475,Bronx,Co-op City,
10475,Bronx,Eastchester,
11004,Queens,Southeast Queens,
11101,Queens,Long Island City,
11102,Queens,Astoria,
11103,Queens,Astoria,
11104,Queens,Sunnyside,
11105,Queens,Astoria,
11106,Queens,Astoria,
11109,Queens,Long Island City,
11201,Brooklyn,Downtown Brooklyn,
11201,Brooklyn,Brooklyn Heights,
11203,Brooklyn,Flatbush,
11203,Brooklyn,East Flatbush,
11204,Brooklyn,Bensonhurst,
11204,Brooklyn,Borough Park,
11205,Brooklyn,Clinton hill,
11206,Brooklyn,Williamsburg,
11206,Brooklyn,Bushwick,
11207,Brooklyn,Bushwick,
11207,Brooklyn,East New York,
11208,Brooklyn,East New York,
11209,Brooklyn,Bay Rodge,
11210,Brooklyn,Midwood,
11210,Brooklyn,Flatbush,
